ID,PUNTO_DE_CONEXION,DOMICILIO,UBICACION,LONGITUD,LATITUD,TIPO,ZONA,LOCALIDAD,SEDE,FECHA_INSTAL,POBLACION
1,Primaria 5 de mayo,Boulevard Renacimiento del Potrero,Nuevo Amanecer,-101.6070693,21.1179868,colonia,urbana,Leon,Escuela,abr-18,486
2,Primaria Joel Cisneros Lara,Boulevard Torre Leon SN,Paseo de las Torres,-101.7583752,21.1672738,colonia,urbana,Leon,Escuela,abr-18,247
3,Primaria Tierra y Libertad,Ejido Los Naranjos Oficinas del Partido Accion Nacional,Los Naranjos,-101.6188820,21.1545128,colonia,urbana,Leon,Escuela,abr-18,201
4,Primaria Dr Pablo del Rio,Boulevard Campestre Ahuehuete SN,Urbi Villa del Roble,-101.7652038,21.1664617,colonia,urbana,Leon,Escuela,abr-18,689
5,Primaria Miguel Hidalgo,Valle del Sahuan SN,Rancho Nuevo El Maguey,-101.6203514,21.0853331,colonia,urbana,Leon,Escuela,abr-18,447
6,Telesecundaria num 581,Antigua Salida A San Felipe No 103,Ibarrilla,-101.6521700,21.1872946,colonia,urbana,Leon,Escuela,abr-18,318
7,Primaria Emiliano Zapata,Emiliano Zapata km 14,Los Sauces,-101.5412377,21.0242972,comunidad,rural,Leon,Escuela,abr-18,384
8,Telesecundaria No 123,Estudiante No 1 Carretera Leon Silao,Los Sauces,-101.6776342,21.1708415,comunidad,rural,Leon,Escuela,abr-18,323
9,Primaria Albino Garcia,Comunidad San Jose del Potrero Club Cinegetico del Bajio,San Jose del Potrero,-101.6005155,21.1342671,comunidad,rural,Leon,Escuela,abr-18,611
10,Primaria Insurgentes,Canada de Alfaro pasando el rio,Alfaro,-101.6083774,21.1483992,comunidad,rural,Leon,Escuela,abr-18,410
11,Telesecundaria No 1003,Mesa de Ibarrilla Salida a Ibarrilla SN,Mesa de Ibarrilla,-101.6500964,21.2194781,comunidad,rural,Leon,Escuela,abr-18,46
12,Primaria Benito Juarez,Camino viejo a Lagos SN y griega carretera Leon  Lagos de Moreno,Lagunillas,-101.7743925,21.1865838,comunidad,rural,Leon,Escuela,may-18,230
13,Telesecundaria Num 527,Camino a los Tepetates No 4,Los Arcos,-101.6749664,21.0659537,comunidad,rural,Leon,Escuela,may-18,238
14,Telesecundaria num 528,Camino Calle de los volcanes No 102,San Pedro del Monte Hospital,-101.7117219,21.0335226,comunidad,rural,Leon,Escuela,may-18,292
15,Primaria Melchor Ocampo,Carretera Leon San Francisco Del Rincon,La Mora,-101.7634213,21.0656266,comunidad,rural,Leon,Escuela,abr-18,136
16,Plaza de la Ciudadania Griselda Alvarez,Boulevard Vasco de Quiroga 2101,Presidentes de Mexico,-101.6514000,21.1393885,colonia,urbana,Leon,plaza,oct-18,0
17,Plaza de la Ciudadania Efrain Huerta,Calle Hegel esquina Pascal SN,Soledad de las Joyas,-101.7566187,21.1406190,colonia,urbana,Leon,plaza,oct-18,0
18,Plaza de la Ciudadania Praxedis Guerrero,Calle Felix Romero 613,Periodistas mexicanos,-101.7521077,21.0934200,colonia,urbana,Leon,plaza,oct-18,0
19,San Francisco de Duran,Alvaro Obregon,San Agustin de Miraflores,-101.6234388,21.0047765,comunidad,rural,Leon,sin informacion,feb-18,2311
20,Alfaro,Templo de Alfaro,Alfaro,-101.6121765,21.1479609,comunidad,rural,Leon,Templo de Alfaro,ene-19,2381
21,Los Alisos,Casa del guardabosques y comedor comunitario de la comunidad,Los Alisos,-101.6485637,21.1343948,comunidad,rural,Leon,Casa del guardabosques y comedor comunitario de la comunidad,dic-18,54
22,Las Canelas,Iglesia de la comunidad,Las Canelas,-101.4665325,21.2189082,comunidad,rural,Leon,Iglesia de la comunidad,dic-18,147
23,Cuesta Blanca,Terreno ubicado a un costado de la calle principal,Cuesta Blanca,-101.4911600,21.1058610,comunidad,rural,Leon,Terreno ubicado a un costado de la calle principal,dic-18,137
24,El Derramadero,A un costado de la Escuela Primaria Francisco Javier Mina,El Derramadero,-101.4168590,21.1670800,comunidad,rural,Leon,A un costado de la Escuela Primaria Francisco Javier Mina,dic-18,141
25,La Mesa del Obispo,Frente a comedor comunitario,Mesa del Obispo,-101.4351200,21.1476600,comunidad,rural,Leon,Frente a comedor comunitario,dic-18,19
26,Nuevo Valle de Moreno,Plaza Principal,Nuevo Valle de Moreno,-101.4250300,21.2107683,comunidad,rural,Leon,Plaza Principal sobre la acera noroeste,dic-18,863
27,San Jose de Otates Sur,Comedor comunitario de la comunidad,San Jose de Otates Sur,-101.5787527,21.2602499,comunidad,rural,Leon,Comedor comunitario de la comunidad,ene-19,73
28,San Jose de Otates Norte,Escalinata para cceder al atrio de la comunidad,San Jose de Otates Norte,-101.8042393,20.7819321,comunidad,rural,Leon,Escalinata para cceder al atrio de la comunidad,ene-19,47
29,San Jose de los Romeros,Calle Juarez 60,San Jose de los Romeros,-101.4924811,21.0371698,comunidad,rural,Leon,Terreno ubicado en el centro de la comunidad,dic-18,137
30,Sauz Seco,Terreno frente al atrio de la iglesia,Sauz Seco,-101.5455623,21.1683518,comunidad,rural,Leon,Terreno frente al atrio de la iglesia,dic-18,101
31,San Rafael Cerro Verde,Plaza Principal,San Rafael Cerro Verde,-101.4600000,21.1627400,comunidad,rural,Leon,Plaza Principal,ene-19,47
32,Vaquerias,En la Plaza principal frente a la iglesia,Vaquerias,-101.4017567,21.1553558,comunidad,rural,Leon,En la Plaza principal frente a la iglesia,dic-18,974
33,Albarradones,Calle Central SN,Parroquia de Nuestra SeÒora del Refugio,-101.5036111,21.0402778,comunidad,rural,Leon,Frente a la iglesia,mar-19,810
34,Benito de Juarez,Juan de Grijalva 116,Benito de Juarez,-101.5802778,21.0775000,comunidad,rural,Leon,Jardin principal,mar-19,86
35,Duarte,Calle La luz SN,Parroquia del Senor de la Misericordia,-101.5222028,21.0856500,comunidad,rural,Leon,Iglesia de la comunidad,mar-19,6261
36,Ejido Pompa,Calle Lazaro Cardenas 202,Ejido Pompa,-101.6875000,21.0752778,comunidad,rural,Leon,En el techo del templo,mar-19,77
37,El Capricho,Plaza de la comunidad,El Capricho,-101.6900000,21.9977778,comunidad,rural,Leon,Plaza de la comunidad,mar-19,1249
38,El Nacimiento,Calle Privada Santa Maria 128,El Nacimiento,-101.7722222,21.0583333,comunidad,rural,Leon,Casa particular frente a mini deportiva,mar-19,280
